rating,value,question
1,2%,S8r1
2,1%,S8r1
3,4%,S8r1
4,26%,S8r1
5,67%,S8r1
98,0%,S8r1
1,0%,S8r2
2,0%,S8r2
3,1%,S8r2
4,26%,S8r2
5,73%,S8r2
98,0%,S8r2
1,0%,S8r3
2,0%,S8r3
3,2%,S8r3
4,28%,S8r3
5,70%,S8r3
98,0%,S8r3
1,0%,S8r4
2,1%,S8r4
3,3%,S8r4
4,26%,S8r4
5,68%,S8r4
98,1%,S8r4
1,1%,S8r5
2,1%,S8r5
3,3%,S8r5
4,24%,S8r5
5,69%,S8r5
98,2%,S8r5
1,0%,S8r6
2,0%,S8r6
3,4%,S8r6
4,26%,S8r6
5,69%,S8r6
98,1%,S8r6
1,0%,S8r7
2,1%,S8r7
3,7%,S8r7
4,29%,S8r7
5,61%,S8r7
98,1%,S8r7
1,0%,S9r1
2,9%,S9r1
3,12%,S9r1
4,36%,S9r1
5,44%,S9r1
98,0%,S9r1
1,3%,S9r2
2,10%,S9r2
3,16%,S9r2
4,42%,S9r2
5,29%,S9r2
98,1%,S9r2
1,0%,S9r3
2,6%,S9r3
3,11%,S9r3
4,31%,S9r3
5,50%,S9r3
98,0%,S9r3
1,4%,S9r4
2,8%,S9r4
3,15%,S9r4
4,41%,S9r4
5,32%,S9r4
98,0%,S9r4
1,1%,S9r5
2,6%,S9r5
3,10%,S9r5
4,32%,S9r5
5,50%,S9r5
98,1%,S9r5
1,2%,S9r6
2,11%,S9r6
3,14%,S9r6
4,42%,S9r6
5,31%,S9r6
98,0%,S9r6
1,2%,S9r7
2,12%,S9r7
3,17%,S9r7
4,40%,S9r7
5,28%,S9r7
98,0%,S9r7
1,0%,S9r8
2,7%,S9r8
3,13%,S9r8
4,33%,S9r8
5,47%,S9r8
98,0%,S9r8
1,3%,S9r9
2,0%,S9r9
3,1%,S9r9
4,2%,S9r9
5,3%,S9r9
98,0%,S9r9
1,24%,S10
2,0%,S10
3,20%,S10
4,20%,S10
5,35%,S10
6,0%,S10
